Actual,Predicted
199038.8894778617,221438.77004016365
173745.07516788205,137054.66205820616
199754.03651033904,181891.30792372394
163603.25229788772,174986.38054966647
173429.52074719942,153143.36845501346
138879.20096789172,153659.1359743007
150940.8101390423,147580.43129176853
215393.30757406863,138926.55898921727
118807.26796299312,143970.76851868996
78291.66207796417,136983.97986225912
173950.09366312122,180826.5761632867
137558.8671875714,154430.07009800963
167654.0462244023,172038.80797528801
192027.398573516,184214.95654544648
139791.17873548812,134344.94055497673
190774.71117627888,146650.67034463873
159758.57124742967,149636.20938180448
212432.53899034552,142651.21159255484
166901.03211634,152705.30220270928
158841.6555645278,192480.96823481595
213584.4875842741,135236.04240228934
146401.6823261131,130163.1231640868
192604.55377024572,162719.04245460365
96544.77517755772,146027.63051500858
144116.64003287046,131155.02425414574
193373.60621343783,146832.5151001345
185033.5073295144,155282.63665944792
175954.23921154934,170896.7320893355
80983.55646298494,133131.83092610145
132414.47147290842,171455.06172340148
174658.2873498069,158323.33928674366
112331.27129475192,151232.84165302583
194073.92068936967,171040.4303332693
136448.2269109263,145839.41406149184
141429.2552084048,151078.58022539964
174300.57413877925,145843.29395358686
130206.82928064732,131888.49092954746
202347.98812734705,163931.63820016867
157002.5776735242,180732.18115679434
205233.3567193104,193531.7042898254
177046.4182100328,165553.6954745585
130386.4035327406,144324.26547759894
154855.25749809283,146014.18484921218
190469.35505523425,184609.62074830444
114690.76132087922,139938.61896545053
203739.4573042384,159317.65669135528
94073.29357963128,137496.4075521424
161784.4850746705,194966.1912433913
30343.71585158876,125567.37510890522
145308.84314194604,141424.5616337889
91835.852605399,147381.94687842907
169177.62622970587,184260.09709820818
131536.35116371748,145907.05359680773
187953.47218761992,168266.3050852629
45179.742583077415,146274.45089952368
139970.73566789803,181132.3633272316
161414.96122893272,145050.13200194156
165233.4268283687,200291.73244134674
148795.36376915537,164701.55487841324
116648.77307779416,150253.4585027492
155442.94441215467,164117.02010933956
215095.42227127723,182404.66678032523
194225.931924788,188375.4765775915
214341.3618080967,189595.4528730308
136895.19444080623,138923.51649381188
188234.8223152769,162511.73619540245
167128.7819754557,143853.59440634816
174619.30546804672,165043.5288531863
166569.17349763284,161164.71194066148
161346.83176144623,162358.3583722656
